metric,performance,diagnostic,delta,delta_percent
attempts,4945,4775,-170,-0.0343781597573306
http200,535,658,123,0.229906542056075
http500,1535,197,-1338,-0.871661237785016
timeout,2869,3422,553,0.192750087138376
connection_error,6,498,492,82
successful_rps,17.8333333333333,21.9333333333333,4.1,0.229906542056075
success_rate,0.10819009100101112,0.13780104712041885,0.0296109561194077,0.273693790673778
p50,7094,8559,1465,0.206512545813363
p95,9812,9814,2,0.000203832042397065
p99,10050,9958,-92,-0.00915422885572139
webclient_active,500,500,0,0
webclient_pending,1343,768,-575,-0.428145941921072
pending_limit,3994,764,-3230,-0.808713069604407
