
 Version: 2.0
 Chunks: 2
 Start: 2026-08-11 03:55:55 (UTC)
 Duration: 121 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ObjectAllocationOutsideTLAB        336402       7248559
 jdk.PromoteObjectInNewPLAB             303914       6634743
 jdk.PromoteObjectOutsidePLAB           222488       4770354
 jdk.ObjectAllocationInNewTLAB          219158       4811017
 jdk.SocketRead                          60054       3585046
 jdk.ThreadPark                          16103        734067
 jdk.TenuringDistribution                 8940        143237
 jdk.SocketWrite                          6598        376690
 jdk.ThreadCPULoad                        4182         90518
 jdk.JavaMonitorEnter                     3034         94328
 jdk.GCPhasePauseLevel1                   2973        134444
 jdk.JavaMonitorWait                      2934        101613
 jdk.ModuleExport                         2622         38950
 jdk.MetaspaceChunkFreeListSummary        2548         72923
 jdk.GCReferenceStatistics                2544         40217
 jdk.ExecutionSample                      2346         40952
 jdk.NativeMethodSample                   1730         30202
 jdk.ThreadAllocationStatistics           1348         23498
 jdk.BooleanFlag                          1306         44635
 jdk.ExecuteVMOperation                   1275         28904
 jdk.GCHeapSummary                        1274         57073
 jdk.MetaspaceSummary                     1274         72369
 jdk.G1HeapSummary                        1274         34961
 jdk.SafepointBegin                        920         19904
 jdk.GCPhasePause                          675         19757
 jdk.G1MMU                                 674         12688
 jdk.GarbageCollection                     637         17745
 jdk.YoungGarbageCollection                596         11207
 jdk.G1GarbageCollection                   596         11207
 jdk.EvacuationInformation                 596         20563
 jdk.G1EvacuationYoungStatistics           596         20018
 jdk.G1EvacuationOldStatistics             596         20481
 jdk.G1BasicIHOP                           596         28145
 jdk.G1AdaptiveIHOP                        596         27896
 jdk.ActiveSetting                         564         18626
 jdk.LongFlag                              458         17063
 jdk.ThreadStart                           392          6982
 jdk.UnsignedLongFlag                      366         13867
 jdk.NativeLibrary                         360         22710
 jdk.ClassLoaderStatistics                 320          9321
 jdk.ModuleRequire                         304          4256
 jdk.GCPhasePauseLevel2                    287         12480
 jdk.Compilation                           275          8468
 jdk.BiasedLockRevocation                  265          6574
 jdk.GCPhaseConcurrent                     237         11560
 jdk.OldObjectSample                       116          3918
 jdk.CPULoad                               105          2503
 jdk.JavaThreadStatistics                  105          2058
 jdk.ClassLoadingStatistics                105          1645
 jdk.CompilerStatistics                    105          3630
 jdk.ExceptionStatistics                   105          1777
 jdk.BiasedLockSelfRevocation               90          1889
 jdk.FileWrite                              83          1988
 jdk.StringFlag                             56          1840
 jdk.InitialEnvironmentVariable             50          2559
 jdk.CheckPoint                             49      14610744
 jdk.OldGarbageCollection                   41           770
 jdk.InitialSystemProperty                  30          1563
 jdk.JavaErrorThrow                         27          4351
 jdk.DoubleFlag                             26          1197
 jdk.NetworkUtilization                     25           540
 jdk.ThreadSleep                            22           492
 jdk.BiasedLockClassRevocation              22           540
 jdk.UnsignedIntFlag                        16           576
 jdk.CodeCacheStatistics                    12           441
 jdk.ThreadContextSwitchRate                11           175
 jdk.MetaspaceGCThreshold                    8           168
 jdk.IntFlag                                 6           205
 jdk.EvacuationFailed                        4            90
 jdk.PhysicalMemory                          4            87
 jdk.CodeSweeperStatistics                   4           107
 jdk.GCConfiguration                         4           115
 jdk.Metadata                                2        154580
 jdk.SweepCodeCache                          2            50
 jdk.JVMInformation                          2           471
 jdk.OSInformation                           2           501
 jdk.VirtualizationInformation               2            71
 jdk.CPUInformation                          2          2913
 jdk.CPUTimeStampCounter                     2            47
 jdk.ThreadDump                              2       3975277
 jdk.CompilerConfiguration                   2            27
 jdk.CodeCacheConfiguration                  2            99
 jdk.CodeSweeperConfiguration                2            27
 jdk.GCSurvivorConfiguration                 2            27
 jdk.GCTLABConfiguration                     2            31
 jdk.GCHeapConfiguration                     2            61
 jdk.YoungGenerationConfiguration            2            41
 jdk.ActiveRecording                         2           118
 jdk.JavaMonitorInflate                      1            28
 jdk.ConcurrentModeFailure                   1            14
 jdk.SystemProcess                           1            59
 jdk.ThreadEnd                               0             0
 jdk.Deserialization                         0             0
 jdk.SecurityPropertyModification            0             0
 jdk.TLSHandshake                            0             0
 jdk.ReservedStackActivation                 0             0
 jdk.X509Validation                          0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.SecurityProviderService                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.X509Certificate                         0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointWaitBlocked                    0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.Shutdown                                0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.ObjectCount                             0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.JavaExceptionThrow                      0             0
